Stochastic Gradient, batch size= 1 / 1000
  iter   |   fval   |  normit 
     198 | 6.89e-01 | 6.65e-01
     200 | 6.89e-01 | 6.64e-01
Stochastic Gradient, batch size= 1000 / 1000
  iter   |   fval   |  normit 
       0 | 6.93e-01 | 8.05e-01
       1 | 6.93e-01 | 7.99e-01
       2 | 6.93e-01 | 7.95e-01
       3 | 6.93e-01 | 7.92e-01
       4 | 6.93e-01 | 7.89e-01
       5 | 6.93e-01 | 7.86e-01
       6 | 6.93e-01 | 7.84e-01
       7 | 6.92e-01 | 7.82e-01
       8 | 6.92e-01 | 7.80e-01
       9 | 6.92e-01 | 7.78e-01
      10 | 6.92e-01 | 7.76e-01
      11 | 6.92e-01 | 7.75e-01
      12 | 6.92e-01 | 7.73e-01
      13 | 6.92e-01 | 7.71e-01
      14 | 6.92e-01 | 7.70e-01
      15 | 6.92e-01 | 7.69e-01
      16 | 6.92e-01 | 7.67e-01
      17 | 6.92e-01 | 7.66e-01
      18 | 6.92e-01 | 7.65e-01
      19 | 6.92e-01 | 7.63e-01
      20 | 6.92e-01 | 7.62e-01
      21 | 6.92e-01 | 7.61e-01
      22 | 6.92e-01 | 7.60e-01
      23 | 6.92e-01 | 7.59e-01
      24 | 6.92e-01 | 7.57e-01
      25 | 6.92e-01 | 7.56e-01
      26 | 6.92e-01 | 7.55e-01
      27 | 6.92e-01 | 7.54e-01
      28 | 6.92e-01 | 7.53e-01
      29 | 6.92e-01 | 7.52e-01
      30 | 6.92e-01 | 7.51e-01
      31 | 6.92e-01 | 7.50e-01
      32 | 6.92e-01 | 7.49e-01
      33 | 6.92e-01 | 7.48e-01
      34 | 6.92e-01 | 7.47e-01
      35 | 6.91e-01 | 7.47e-01
      36 | 6.91e-01 | 7.46e-01
      37 | 6.91e-01 | 7.45e-01
      38 | 6.91e-01 | 7.44e-01
      39 | 6.91e-01 | 7.43e-01
      40 | 6.91e-01 | 7.42e-01
      41 | 6.91e-01 | 7.41e-01
      42 | 6.91e-01 | 7.41e-01
      43 | 6.91e-01 | 7.40e-01
      44 | 6.91e-01 | 7.39e-01
      45 | 6.91e-01 | 7.38e-01
      46 | 6.91e-01 | 7.37e-01
      47 | 6.91e-01 | 7.37e-01
      48 | 6.91e-01 | 7.36e-01
      49 | 6.91e-01 | 7.35e-01
      50 | 6.91e-01 | 7.34e-01
      51 | 6.91e-01 | 7.34e-01
      52 | 6.91e-01 | 7.33e-01
      53 | 6.91e-01 | 7.32e-01
      54 | 6.91e-01 | 7.31e-01
      55 | 6.91e-01 | 7.31e-01
      56 | 6.91e-01 | 7.30e-01
      57 | 6.91e-01 | 7.29e-01
      58 | 6.91e-01 | 7.29e-01
      59 | 6.91e-01 | 7.28e-01
      60 | 6.91e-01 | 7.27e-01
      61 | 6.91e-01 | 7.27e-01
      62 | 6.91e-01 | 7.26e-01
      63 | 6.91e-01 | 7.25e-01
      64 | 6.91e-01 | 7.25e-01
      65 | 6.91e-01 | 7.24e-01
      66 | 6.91e-01 | 7.23e-01
      67 | 6.91e-01 | 7.23e-01
      68 | 6.91e-01 | 7.22e-01
      69 | 6.91e-01 | 7.22e-01
      70 | 6.91e-01 | 7.21e-01
      71 | 6.91e-01 | 7.20e-01
      72 | 6.91e-01 | 7.20e-01
      73 | 6.91e-01 | 7.19e-01
      74 | 6.91e-01 | 7.19e-01
      75 | 6.91e-01 | 7.18e-01
      76 | 6.91e-01 | 7.17e-01
      77 | 6.91e-01 | 7.17e-01
      78 | 6.91e-01 | 7.16e-01
      79 | 6.91e-01 | 7.16e-01
      80 | 6.91e-01 | 7.15e-01
      81 | 6.91e-01 | 7.14e-01
      82 | 6.91e-01 | 7.14e-01
      83 | 6.91e-01 | 7.13e-01
      84 | 6.91e-01 | 7.13e-01
      85 | 6.91e-01 | 7.12e-01
      86 | 6.91e-01 | 7.12e-01
      87 | 6.91e-01 | 7.11e-01
      88 | 6.91e-01 | 7.11e-01
      89 | 6.91e-01 | 7.10e-01
      90 | 6.90e-01 | 7.10e-01
      91 | 6.90e-01 | 7.09e-01
      92 | 6.90e-01 | 7.08e-01
      93 | 6.90e-01 | 7.08e-01
      94 | 6.90e-01 | 7.07e-01
      95 | 6.90e-01 | 7.07e-01
      96 | 6.90e-01 | 7.06e-01
      97 | 6.90e-01 | 7.06e-01
      98 | 6.90e-01 | 7.05e-01
      99 | 6.90e-01 | 7.05e-01
     100 | 6.90e-01 | 7.04e-01
